Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
X3,BMW,3.0 TDI,6.5,Diesel,2014,2018,4,2,2066,300,Alemania,26204,2584KSN,18/10/2018
Camry,Toyota,1.2 TSI,4.3,Eléctrico,2003,2018,5,4,2492,572,Japón,31132,5910WBW,12/10/2016
308,Peugeot,2.0 T,9.1,Híbrido,2019,2019,4,2,1049,581,Francia,26807,3780SBW,11/5/2019
X3,BMW,1.4 EcoBoost,8.2,Diesel,2001,,5,2,1691,704,Alemania,21920,2205DJM,5/4/2006
308,Peugeot,1.6 T,4.7,Diesel,2002,,4,4,1348,675,Francia,30505,7074HMP,22/11/2011
5008,Peugeot,1.0 TDI,9.0,Gasolina,2010,2020,4,2,2183,480,Francia,22596,4807XQI,4/10/2014
208,Peugeot,1.6 T,9.4,Gasolina,2022,2024,9,4,1208,431,Francia,25867,2098VSG,6/6/2023
Twingo,Renault,1.6 EcoBoost,4.2,Diesel,2025,2025,1,4,1888,467,Francia,25779,5604BCY,5/5/2025
A3,Audi,3.0 TDI,8.8,Híbrido,2013,,9,2,1928,786,Alemania,28555,3839XQV,5/2/2024
X3,BMW,1.0 T,8.0,Diesel,1998,,5,2,2080,552,Alemania,33028,4357PGU,12/6/2023
A3,Audi,2.2 Hybrid,8.4,Eléctrico,2012,2012,9,4,1147,419,Alemania,54817,7776WIX,10/4/2012
Megane,Renault,2.0 TSI,4.7,Eléctrico,2011,2024,8,2,2383,471,Francia,57944,4454VRI,15/1/2020
Accord,Honda,2.2 T,4.5,Eléctrico,2021,2023,8,4,2172,672,Japón,40485,4018EDB,1/11/2023
208,Peugeot,1.6 EcoBoost,7.4,Diesel,2010,,1,2,2171,489,Francia,18637,9110SEO,1/10/2010
Civic,Honda,1.6 EcoBoost,6.5,Gasolina,2000,,2,4,2263,615,Japón,15324,3801IFY,24/7/2001
Jazz,Honda,2.2 TDI,8.8,Híbrido,2004,,5,2,2320,754,Japón,33656,2219WQQ,2/6/2014
320i,BMW,1.2 EcoBoost,4.5,Eléctrico,1996,2017,2,4,2179,725,Alemania,48775,9649YVB,7/4/1999
Q5,Audi,1.0 Turbo,5.6,Híbrido,2019,2020,5,4,1484,549,Alemania,28088,7394ERR,18/11/2020
X5,BMW,1.4 VTEC,6.1,Diesel,1997,,5,4,923,615,Alemania,23103,2746TCK,3/9/2014
Yaris,Toyota,2.0 TDI,8.2,Diesel,2025,2025,5,4,1147,419,Japón,29896,1699JDT,3/8/2025
i20,Hyundai,2.2 Hybrid,8.7,Híbrido,2013,,1,4,1413,740,Corea del Sur,43370,3014DQE,11/12/2016
Kona,Hyundai,2.2 VTEC,7.4,Gasolina,2010,2022,1,4,1631,493,Corea del Sur,20560,6581VYQ,5/7/2011
208,Peugeot,1.4 VTEC,7.5,Híbrido,2022,2024,8,2,1078,308,Francia,40587,1891NHW,6/2/2023
Golf,Volkswagen,1.4 T,4.8,Eléctrico,2014,,8,2,1479,383,Alemania,42382,7983RYQ,13/1/2014
Focus,Ford,1.6 TDI,4.9,Gasolina,2009,2023,2,4,1763,408,Estados Unidos,21433,5300UJJ,2/6/2022
320i,BMW,3.0 Turbo,5.6,Gasolina,2008,2020,1,4,1691,355,Alemania,17984,3323QMJ,10/6/2012
M4,BMW,3.0 T,6.1,Eléctrico,2020,2022,5,2,1335,706,Alemania,25149,7807OJY,15/8/2020
M4,BMW,2.2 VTEC,8.1,Híbrido,2007,2009,4,4,964,617,Alemania,28862,2822ELJ,9/4/2007
Passat,Volkswagen,1.0 EcoBoost,3.9,Híbrido,2011,2025,4,4,1083,363,Alemania,28725,5888DDV,28/4/2022
3008,Peugeot,1.0 EcoBoost,8.2,Diesel,2016,2025,9,4,1396,735,Francia,32070,8275YCW,9/10/2017
Fiesta,Ford,2.2 EcoBoost,8.1,Gasolina,2016,,2,2,1723,479,Estados Unidos,29911,6151ZFG,14/12/2022
CR-V,Honda,1.6 TDI,4.1,Diesel,1995,2010,5,2,1096,431,Japón,22498,4885IVL,9/5/2003
Megane,Renault,1.4 EcoBoost,7.5,Híbrido,2023,2023,5,2,1932,487,Francia,44509,8051BGQ,26/12/2023
Tiguan,Volkswagen,1.0 T,9.2,Diesel,2007,2021,5,4,1547,644,Alemania,24940,5184URA,12/12/2019
Civic,Honda,1.4 Turbo,3.6,Diesel,2015,2023,1,4,1097,680,Japón,28289,9258VAP,25/4/2022
208,Peugeot,2.2 T,6.5,Gasolina,2008,2018,9,4,1937,502,Francia,22641,3998UOU,25/2/2011
A180,Mercedes-Benz,1.0 Hybrid,5.7,Eléctrico,2002,,4,4,1889,705,Alemania,31418,6143QPM,3/6/2011
3008,Peugeot,1.4 TDI,4.0,Híbrido,2005,,9,4,2212,494,Francia,24300,8761EYA,3/9/2006
Megane,Renault,2.0 Turbo,4.7,Diesel,2015,2017,5,2,1579,716,Francia,33003,5395QJG,17/5/2015
Tucson,Hyundai,1.6 TSI,3.6,Híbrido,2006,2006,2,4,1265,526,Corea del Sur,23063,5196VGQ,21/9/2006
A6,Audi,1.0 TDI,4.4,Híbrido,2003,,5,4,1609,508,Alemania,29556,6100ENV,19/12/2013
i10,Hyundai,1.2 VTEC,7.4,Gasolina,2002,2010,2,4,1571,501,Corea del Sur,22568,5438VJM,25/2/2002
CR-V,Honda,1.2 TSI,3.8,Eléctrico,2011,2025,4,2,1876,659,Japón,47520,4182PHT,9/9/2023
A4,Audi,2.0 TSI,3.7,Diesel,2014,2016,5,4,1061,665,Alemania,27622,3516ILA,18/10/2015
Kuga,Ford,1.6 EcoBoost,4.0,Diesel,2025,2025,1,4,1283,546,Estados Unidos,33644,1701OUY,19/7/2025
CR-V,Honda,1.0 Hybrid,9.2,Gasolina,2014,2022,9,2,1209,737,Japón,20759,8134FSZ,13/1/2022
Yaris,Toyota,1.0 VTEC,9.1,Híbrido,2002,,9,2,2067,553,Japón,41428,8736SGR,10/4/2004
GLA,Mercedes-Benz,1.4 T,7.2,Eléctrico,2002,2005,1,4,1547,765,Alemania,36718,3653JBT,2/1/2005
Clio,Renault,1.2 TDI,8.6,Híbrido,2005,,5,4,1827,724,Francia,24404,6251MUZ,1/1/2013
208,Peugeot,2.2 T,8.4,Híbrido,2004,2025,9,2,1480,567,Francia,42454,4986TCU,2/4/2025
Camry,Toyota,2.2 VTEC,9.5,Diesel,2015,,8,2,1935,378,Japón,34404,5029CTR,2/8/2025
A3,Audi,2.2 TSI,5.8,Diesel,2014,2016,1,4,1576,791,Alemania,29623,2376XGY,3/10/2015
i10,Hyundai,1.2 EcoBoost,6.6,Híbrido,2007,,4,2,1528,605,Corea del Sur,30553,9368BHH,8/2/2024
Fiesta,Ford,3.0 TDI,8.4,Híbrido,2010,2019,8,4,1103,455,Estados Unidos,26564,5938IOT,16/11/2018
5008,Peugeot,1.4 Hybrid,3.6,Gasolina,2000,2013,2,4,996,313,Francia,16086,5328BVX,17/7/2004
Camry,Toyota,3.0 Hybrid,5.1,Diesel,2002,2008,4,4,2308,408,Japón,32298,3909RCW,12/5/2007
Focus,Ford,1.2 Hybrid,8.7,Híbrido,1998,2010,2,2,1201,655,Estados Unidos,31299,8794PIB,4/1/1999
Jazz,Honda,1.6 TSI,8.5,Gasolina,2002,,8,4,1387,744,Japón,22698,4190TWW,16/2/2016
Tiguan,Volkswagen,1.2 Hybrid,7.3,Eléctrico,2004,2024,1,4,2078,745,Alemania,49388,3999ANJ,21/11/2024
i10,Hyundai,3.0 Hybrid,7.7,Eléctrico,1995,2012,5,2,2316,635,Corea del Sur,55914,9847LLH,25/10/1996
X5,BMW,2.0 TSI,3.7,Gasolina,1995,2007,1,4,1282,585,Alemania,17843,7392TQI,17/4/1998
Q5,Audi,2.2 Hybrid,7.4,Híbrido,2012,2024,1,4,1449,337,Alemania,35864,4019QZO,23/12/2021
E220,Mercedes-Benz,1.0 VTEC,8.9,Híbrido,2016,2024,1,2,2441,473,Alemania,23201,2378WJD,5/12/2024
Corolla,Toyota,1.6 TDI,8.3,Eléctrico,1995,,1,2,2383,508,Japón,57403,2941YVA,22/3/1995
Captur,Renault,3.0 TSI,5.0,Diesel,1999,2002,9,4,1622,313,Francia,20246,1726FJF,10/4/2000
i20,Hyundai,1.6 Turbo,7.2,Diesel,1996,,1,4,1350,329,Corea del Sur,30456,7582RIR,5/1/2010
Captur,Renault,1.2 EcoBoost,5.0,Eléctrico,2000,2025,9,4,1046,600,Francia,25629,5450LAH,28/11/2020
Kuga,Ford,2.0 TDI,8.8,Gasolina,2012,,8,4,2297,353,Estados Unidos,21903,2601APX,5/5/2023
RAV4,Toyota,1.2 EcoBoost,9.2,Híbrido,2011,2021,4,4,1229,532,Japón,31190,6132HHB,28/7/2011
GLA,Mercedes-Benz,3.0 Hybrid,8.0,Híbrido,2012,2019,5,2,1915,454,Alemania,26492,3243JVX,22/2/2012
M4,BMW,2.2 VTEC,8.1,Gasolina,2015,,9,4,932,590,Alemania,26260,7018YVR,19/11/2016
E220,Mercedes-Benz,1.4 TSI,4.5,Híbrido,2012,,8,2,1972,331,Alemania,38161,5826GFP,15/5/2025
GLA,Mercedes-Benz,1.6 Hybrid,7.7,Eléctrico,1996,2020,4,2,2169,630,Alemania,33653,9856VUK,4/4/2020
A6,Audi,1.0 EcoBoost,4.1,Híbrido,2011,2019,4,4,1158,631,Alemania,39738,3796HKA,5/9/2011
Clio,Renault,1.4 TSI,3.9,Gasolina,2014,2021,2,2,1524,416,Francia,18625,6971TXZ,16/5/2018
Captur,Renault,3.0 EcoBoost,9.4,Diesel,2005,2009,1,4,1735,424,Francia,31087,5499SUK,8/11/2009
Camry,Toyota,1.4 T,5.5,Híbrido,2008,2019,1,4,954,579,Japón,29219,6971XEE,17/9/2019
Jazz,Honda,3.0 EcoBoost,4.4,Gasolina,2022,2022,4,4,943,461,Japón,24600,7184FNI,23/11/2022
Polo,Volkswagen,3.0 Turbo,7.6,Gasolina,2013,2015,5,4,998,369,Alemania,20840,7165OCF,18/4/2013
Captur,Renault,1.6 Hybrid,4.9,Diesel,2003,2005,2,2,1558,599,Francia,21809,1918HRT,9/10/2003
Passat,Volkswagen,1.2 EcoBoost,7.6,Eléctrico,2006,2015,2,4,2174,528,Alemania,53783,8129NMD,25/5/2008
X5,BMW,2.2 VTEC,6.8,Eléctrico,2015,2015,9,4,1811,473,Alemania,29621,9733GFZ,14/11/2015
Golf,Volkswagen,3.0 TDI,5.1,Híbrido,2021,2024,9,4,2441,301,Alemania,37561,3521HCF,9/2/2022
Fiesta,Ford,3.0 T,8.3,Eléctrico,2002,2023,4,2,1509,309,Estados Unidos,47919,2408WMQ,7/8/2018
Kuga,Ford,2.2 T,8.9,Gasolina,2003,,2,4,2191,404,Estados Unidos,18776,6682PWK,24/5/2023
Camry,Toyota,2.2 Turbo,4.1,Híbrido,2004,2018,2,2,2266,387,Japón,44586,2130NHD,17/10/2005
Accord,Honda,3.0 Turbo,8.6,Eléctrico,2019,,1,2,2278,378,Japón,39773,6525RGJ,12/5/2020
Q5,Audi,1.2 EcoBoost,6.0,Eléctrico,2017,2020,8,2,1976,696,Alemania,47564,4200NLC,16/6/2018
RAV4,Toyota,1.4 T,7.8,Gasolina,2012,2019,2,4,2464,567,Japón,28867,5201GBI,3/6/2013
308,Peugeot,1.2 VTEC,8.3,Diesel,2024,2025,8,2,1924,729,Francia,29127,2092TSM,20/7/2025
E220,Mercedes-Benz,2.0 T,4.5,Diesel,2003,2025,5,2,1951,557,Alemania,32770,7072VBM,10/12/2023
Megane,Renault,1.0 T,5.4,Eléctrico,1996,,8,4,1114,466,Francia,52165,6823CBC,19/11/1997
208,Peugeot,1.0 Hybrid,6.5,Gasolina,2005,2024,8,2,1004,599,Francia,24053,1575DLZ,8/12/2010
Civic,Honda,2.2 VTEC,4.8,Eléctrico,2012,2014,5,2,1684,731,Japón,40276,9714ICF,15/7/2014
Captur,Renault,1.0 EcoBoost,4.5,Diesel,2011,2024,4,4,1564,498,Francia,32649,9175YXO,6/2/2024
X5,BMW,1.6 TDI,5.7,Diesel,2007,,8,4,1437,714,Alemania,19392,6557JFM,8/7/2011
Twingo,Renault,1.0 EcoBoost,8.4,Gasolina,2014,2022,2,4,1944,450,Francia,23706,6667NSH,16/12/2014
Kuga,Ford,1.0 TSI,4.7,Diesel,2011,,9,2,1245,604,Estados Unidos,20571,9140IVQ,21/8/2011
A3,Audi,2.0 Turbo,7.1,Eléctrico,2004,2016,4,4,1239,588,Alemania,45077,8839KRP,26/2/2012
CR-V,Honda,1.4 TSI,9.4,Eléctrico,1999,,8,4,1141,535,Japón,32353,2187FZU,19/3/2021
